"actual state ID","virtual state ID","cT (virtual state)","cT (next virtual state)"
"ord-1DC111113741",1,0,1
"ord-1DC285113221",1,0,1
"ord-1DC285113222",1,0,1
"ord-1DC285113223",1,0,1
"ord-1DC711413391",1,0,1
"ord-1DC711413392",1,0,1
"ord-1DC111113742",2,1,0
"ord-1DC123613863",2,1,0
"ord-1DC164314302",2,1,0
"ord-1DC300113141",2,1,0
"ord-1DC344213301",2,1,0
"ord-1DC386113791",2,1,0
"ord-1DC591613581",2,1,0
"ord-1DC649514482",2,1,0
"ord-1DC649514483",2,1,0
"ord-1DC711413393",2,1,0
"ord-1DC848614433",2,1,0
"ord-1DC972114112",2,1,0
"ord-1DC111113743",3,0,1
"ord-1DC164314303",3,0,1
"ord-1DC300113142",3,0,1
"ord-1DC300113143",3,0,1
"ord-1DC344213302",3,0,1
"ord-1DC386113792",3,0,1
"ord-1DC591613582",3,0,1
"ord-1DC724614332",3,0,1
"ord-1DC880114203",3,0,1
"ord-1DC948413942",3,0,1
"ord-1DC948413943",3,0,1
"ord-1DC972114113",3,0,1
"ord-1DC123613861",4,0,1
"ord-1DC123613862",4,0,1
"ord-1DC133214273",4,0,1
"ord-1DC164314301",4,0,1
"ord-1DC258214313",4,0,1
"ord-1DC649514481",4,0,1
"ord-1DC848614431",4,0,1
"ord-1DC848614432",4,0,1
"ord-1DC972114111",4,0,1
"ord-1DC133214271",5,0,1
"ord-1DC258214311",5,0,1
"ord-1DC566814393",5,0,1
"ord-1DC133214272",6,1,0
"ord-1DC258214312",6,1,0
"ord-1DC222514361",7,1,0
"ord-1DC222514362",8,0,1
"ord-1DC786514261",8,0,1
"ord-1DC222514363",9,1,0
"ord-1DC241314221",9,1,0
"ord-1DC241314222",9,1,0
"ord-1DC241314223",9,1,0
"ord-1DC724614331",9,1,0
"ord-1DC786514262",9,1,0
"ord-1DC786514263",9,1,0
"ord-1DC880114201",9,1,0
"ord-1DC880114202",9,1,0
"ord-1DC948413941",9,1,0
"ord-1DC283213361",10,1,1
"ord-1DC283213362",10,1,1
"ord-1DC283213363",10,1,1
"ord-1DC344213303",10,1,1
"ord-1DC386113793",10,1,1
"ord-1DC591613583",10,1,1
"ord-1DC724614333",10,1,1
"ord-1DC566814391",11,1,0
"ord-1DC566814392",11,1,0
"ord-1DC615914771",12,1,1
"ord-1DC615914772",12,1,1
"ord-1DC615914773",12,1,1
"ord-1DC700714401",12,1,1
"ord-1DC700714402",12,1,1
"ord-1DC700714403",12,1,1
"ord-1DC872714591",13,1,1
"ord-1DC872714592",13,1,1
"ord-1DC872714593",13,1,1
